Model,Accuracy,Precision,Recall,Specificity,F1-Score,Balanced Accuracy,MCC,ROC-AUC,PR-AUC
Random Forest,0.8404907975460123,0.4444444444444444,0.16,0.9637681159420289,0.23529411764705882,0.5618840579710145,0.19527053329690947,0.7395652173913044,0.3742859571119124
CatBoost,0.8466257668711656,0.5,0.16,0.9710144927536232,0.24242424242424243,0.5655072463768116,0.21853351172228838,0.7104347826086956,0.3469652648804396
Logistic Regression,0.8466257668711656,0.5,0.16,0.9710144927536232,0.24242424242424243,0.5655072463768116,0.21853351172228838,0.7057971014492753,0.3509879204772453
XGBoost,0.8220858895705522,0.35714285714285715,0.2,0.9347826086956522,0.2564102564102564,0.5673913043478261,0.17333499541194058,0.6420289855072463,0.2666026132329408
Decision Tree,0.7668711656441718,0.27586206896551724,0.32,0.8478260869565217,0.2962962962962963,0.5839130434782609,0.1581312187186962,0.5789855072463769,0.19257034059657288
